study_name,study_type,suite_name,suite_run_id,run_id,timestamp_utc,manifest_hash,code_version_marker,split_id,train_split,test_split,seed,trace_seed,variant_tag,variant_label,policy,menu_k,ablation_tag,is_reference,reference_tag,reference_policy,paired_reference_policy,paired_baseline_policy,checkpoint_path,checkpoint_reused,checkpoint_source,episodes,served_customers,travel_time,travel_cost,service_cost,failure_cost,discount_cost,charge_revenue,total_cost,net_profit,home_pickup_count,average_menu_size,avg_meeting_point_count_per_menu,home_pickup_only_share,home_pickup_only_with_feasible_meeting_point_share,home_pickup_share,avg_walk_distance,avg_pickup_time_deviation,avg_in_vehicle_time,avg_chosen_predicted_cost,avg_chosen_price,avg_menu_build_time,avg_step_time,mean_net_profit_gap_vs_reference,mean_total_cost_gap_vs_reference,net_profit_win_rate_vs_reference,net_profit_gap_ci95_half_width_vs_reference,mean_net_profit_gap_vs_baseline,mean_total_cost_gap_vs_baseline,net_profit_win_rate_vs_baseline,net_profit_gap_ci95_half_width_vs_baseline,split_count,split_ids
rc_main,policy_compare,,,20260412T040208Z_63bc343f,,63bc343f32bb96d20f029de1998045f8795209da,nogit-3fef95ad1b2d,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,6.0,374.0,268266.6666666667,2280.266666666667,1012.962425,502.1111111111111,2107.899015891769,104.22431678832457,5799.014901881223,-5799.014901881222,251.05555555555554,2.3696524064171123,1.369652406417112,0.2466577540106952,0.0,0.6712715389185978,3015.9803921568623,1941.4619809744427,5178.97504456328,25.06570655081992,-5.357418981560012,0.035203960464678795,0.037927975522855595,,,,,,,,,6,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025,rc_2_to_3,rc_3_to_2,rc_4_to_2"
rc_main,policy_compare,,,20260412T040208Z_63bc343f,,63bc343f32bb96d20f029de1998045f8795209da,nogit-3fef95ad1b2d,,,,,,menu_optimization,menu optimization,menu_optimization,3,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,6.0,374.0,267886.6666666667,2277.036666666667,1025.262775,508.3333333333333,2103.968716798306,107.14218263580858,5807.4593091624965,-5807.4593091624965,254.16666666666666,2.0440433749257276,1.0440433749257279,0.24688057040998215,0.0,0.6795900178253119,2899.8841354723704,1949.07755091982,5191.327985739751,25.70529790328878,-5.339108380113629,0.03620279932398636,0.03881036688087246,-8.444407281275213,8.444407281275288,0.3888888888888889,47.094782066699906,,,,,6,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025,rc_2_to_3,rc_3_to_2,rc_4_to_2"
rc_main,policy_compare,,,20260412T040208Z_63bc343f,,63bc343f32bb96d20f029de1998045f8795209da,nogit-3fef95ad1b2d,,,,,,menu_optimization_v2,menu optimization v2,menu_optimization,3,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,6.0,374.0,274836.6666666667,2336.1116666666667,384.09644166666664,192.55555555555557,2159.5646469110775,67.64061861938075,5004.687692180587,-5004.687692180586,96.27777777777779,3.5681075460487235,2.5681075460487226,0.0,0.0,0.25742721330956625,5480.7486631016045,3238.988695815204,3115.463458110517,25.312648822961062,-5.593379754790632,0.04490052760001181,0.04747467335320199,794.3272097006362,-794.3272097006362,1.0,117.77656841940832,,,,,6,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025,rc_2_to_3,rc_3_to_2,rc_4_to_2"
rc_main,policy_compare,,,20260412T040208Z_63bc343f,,63bc343f32bb96d20f029de1998045f8795209da,nogit-3fef95ad1b2d,,,,,,nearest_heuristic,nearest heuristic,nearest_heuristic,3,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,6.0,374.0,268906.6666666667,2285.7066666666665,1010.8872916666666,500.72222222222223,2104.454078417382,106.81563988759325,5794.954619085343,-5794.954619085343,250.36111111111111,2.3318478906714204,1.33184789067142,0.24814319667260845,0.0,0.6694147355912062,3031.1942959001776,1936.2726368007409,5180.222816399288,24.891060995325407,-5.341279247405851,0.033434949561085996,0.036154283364472184,4.060282795877861,-4.060282795877963,0.4444444444444444,57.64117015537571,,,,,6,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025,rc_2_to_3,rc_3_to_2,rc_4_to_2"
rc_main,policy_compare,,,20260412T040208Z_63bc343f,,63bc343f32bb96d20f029de1998045f8795209da,nogit-3fef95ad1b2d,,,,,,revenue_greedy,revenue greedy,revenue_greedy,3,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,6.0,374.0,267943.3333333333,2277.518333333334,1012.0393250000002,501.5555555555555,2105.990314768231,106.28295951592507,5790.820569141196,-5790.820569141196,250.77777777777774,2.333184789067142,1.3331847890671418,0.24821746880570406,0.0,0.6705288175876412,3021.3101604278077,1936.0397636841942,5183.181818181819,25.77596583961188,-5.346811110300283,0.03494576284729608,0.03758621554040371,8.194332740026917,-8.194332740027093,0.4444444444444445,53.39465486533724,,,,,6,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025,rc_2_to_3,rc_3_to_2,rc_4_to_2"
rc_main,policy_compare,,,20260412T040208Z_63bc343f,,63bc343f32bb96d20f029de1998045f8795209da,nogit-3fef95ad1b2d,,,,,,top_k_cheapest,top k cheapest,top_k_cheapest,3,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,6.0,374.0,268120.0,2279.02,1013.5669166666667,502.22222222222223,2104.746301014864,106.57901668127887,5792.976423222474,-5792.976423222474,251.11111111111111,2.3287284610814023,1.3287284610814023,0.2520053475935829,0.0,0.6714200831847891,3018.609625668449,1938.3945728465635,5182.5668449197865,25.50033223183171,-5.342693273619211,0.032882399799095956,0.03557545127290668,6.0384786587476365,-6.038478658747685,0.5277777777777778,63.98154382506948,,,,,6,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025,rc_2_to_3,rc_3_to_2,rc_4_to_2"
rc_main,policy_compare,,,20260412T040208Z_63bc343f,,63bc343f32bb96d20f029de1998045f8795209da,nogit-3fef95ad1b2d,,,,,,top_k_passenger_utility,top k passenger utility,top_k_passenger_utility,3,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,6.0,374.0,267273.3333333333,2271.8233333333333,1012.5331749999999,502.5555555555555,2103.7665254912013,107.95964228312778,5782.718947096963,-5782.718947096963,251.27777777777774,2.333778966131907,1.3337789661319073,0.24992572786690434,0.0,0.6718657159833629,3022.415329768271,1937.6321314067975,5183.422459893049,25.345957853921234,-5.336382040663298,0.03147428375783648,0.03406727510552568,16.295954784259497,-16.29595478425942,0.5555555555555556,44.023389144005954,,,,,6,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025,rc_2_to_3,rc_3_to_2,rc_4_to_2"
